score_i-1,score_i,score_i+1,purity_i-1,purity_i,purity_i+1,review_score,review_purity,Sentiment
0.00307258626771,0.0,0.0,2.43856052993e-05,0.0,0.0,-0.705688391383,-0.00363781637384,0
0.0,0.0,0.00536733407452,0.0,0.0,3.46279617711e-05,-0.705688391383,-0.00363781637384,0
0.0,0.00536733407452,0.0,0.0,3.46279617711e-05,0.0,-0.705688391383,-0.00363781637384,0
0.00536733407452,0.0,-0.035384802939,3.46279617711e-05,0.0,-0.000141539211756,-0.705688391383,-0.00363781637384,0
0.0,-0.035384802939,-0.00440810097869,0.0,-0.000141539211756,-8.07344501591e-06,-0.705688391383,-0.00363781637384,0
-0.035384802939,-0.00440810097869,-0.656682287755,-0.000141539211756,-8.07344501591e-06,-0.00295802832322,-0.705688391383,-0.00363781637384,0
-0.00440810097869,-0.656682287755,0.0,-8.07344501591e-06,-0.00295802832322,0.0,-0.705688391383,-0.00363781637384,0
-0.656682287755,0.0,0.00614517253541,-0.00295802832322,0.0,2.80601485635e-05,-0.705688391383,-0.00363781637384,0
0.0,0.00614517253541,0.000345291181773,0.0,2.80601485635e-05,4.73001618867e-06,-0.705688391383,-0.00363781637384,0
0.00614517253541,0.000345291181773,-0.00107395705025,2.80601485635e-05,4.73001618867e-06,-1.26347888264e-05,-0.705688391383,-0.00363781637384,0
0.000345291181773,-0.00107395705025,-0.035384802939,4.73001618867e-06,-1.26347888264e-05,-0.0007692348465,-0.705688391383,-0.00363781637384,0
-0.00107395705025,-0.035384802939,0.0,-1.26347888264e-05,-0.0007692348465,0.0,-0.705688391383,-0.00363781637384,0
-0.035384802939,0.0,0.00307258626771,-0.0007692348465,0.0,1.95706131701e-05,-0.705688391383,-0.00363781637384,0
0.0,0.00307258626771,0.0,0.0,1.95706131701e-05,0.0,-0.705688391383,-0.00363781637384,0
0.00307258626771,0.0,0.0,1.95706131701e-05,0.0,0.0,-0.705688391383,-0.00363781637384,0
